architecture,hidden_layer_sizes,accuracy,precision_macro,recall_macro,f1_macro
"arch1_(64,)","(64,)",0.9896,0.9865,0.9858,0.9861
"arch2_(128,64)","(128, 64)",0.9902,0.9856,0.9871,0.9864
